feature,coefficient,absolute_importance
rolling_pp_pct_5_diff,44.16933845283779,44.16933845283779
rolling_pk_pct_5_diff,-34.183372565329734,34.183372565329734
special_teams_matchup_inverse,9.186094639681,9.186094639681
special_teams_matchup,2.630784145871679,2.630784145871679
rolling_faceoff_5_diff,2.198407857203007,2.198407857203007
rolling_win_pct_5_diff,0.5324431109510677,0.5324431109510677
season_win_pct_diff,0.2791781496338207,0.2791781496338207
season_goal_diff_avg_diff,0.2046862185270162,0.2046862185270162
rolling_goal_diff_5_diff,-0.15142559434423147,0.15142559434423147
rolling_win_pct_10_diff,-0.06409918775062053,0.06409918775062053
season_shot_margin_diff,0.038054008649258876,0.038054008649258876
rolling_goal_diff_10_diff,0.01902306123522579,0.01902306123522579
games_played_prior_diff,-0.010784478381103395,0.010784478381103395
days_since_last_game_diff,0.0006696326861628457,0.0006696326861628457
